"idade","sexo","racacor","causabas","ano","n"
"< 1","F","null","IX","2010",1
"< 1","F","null","IX","2011",2
"< 1","F","null","IX","2012",2
"< 1","F","null","IX","2013",1
"< 1","F","null","IX","2014",4
"< 1","F","null","IX","2015",2
"< 1","F","null","IX","2017",2
"< 1","F","null","VI","2006",5
"< 1","F","null","VI","2007",10
"< 1","F","null","VI","2008",3
"< 1","F","null","VI","2009",9
"< 1","F","null","VI","2010",6
"< 1","F","null","VI","2011",5
"< 1","F","null","VI","2012",2
"< 1","F","null","VI","2013",5
"< 1","F","null","VI","2014",4
"< 1","F","null","VI","2015",3
"< 1","F","null","VI","2017",3
"< 1","F","null","VIII","2008",1
"< 1","F","null","X","2006",26
"< 1","F","null","X","2007",13
"< 1","F","null","X","2008",16
"< 1","F","null","X","2009",13
"< 1","F","null","X","2010",4
"< 1","F","null","X","2011",6
"< 1","F","null","X","2012",11
"< 1","F","null","X","2013",7
"< 1","F","null","X","2014",6
"< 1","F","null","X","2015",5
"< 1","F","null","X","2016",3
"< 1","F","null","X","2017",4
"< 1","F","null","XI","2006",2
"< 1","F","null","XI","2007",1
"< 1","F","null","XI","2009",3
"< 1","F","null","XI","2011",3
"< 1","F","null","XI","2012",1
"< 1","F","null","XI","2013",3
"< 1","F","null","XI","2014",3
"< 1","F","null","XI","2015",2
"< 1","F","null","XI","2016",3
"< 1","F","null","XI","2017",1
"< 1","F","null","XIII","2009",1
"< 1","F","null","XIV","2006",1
"< 1","F","null","XIV","2008",1
"< 1","F","null","XIV","2009",1
"< 1","F","null","XIV","2012",1
"< 1","F","null","XIV","2014",1
"< 1","F","null","XIV","2015",1
"< 1","F","null","XVI","2006",451
"< 1","F","null","XVI","2007",347
"< 1","F","null","XVI","2008",278
"< 1","F","null","XVI","2009",279
"< 1","F","null","XVI","2010",257
"< 1","F","null","XVI","2011",241
"< 1","F","null","XVI","2012",259
"< 1","F","null","XVI","2013",262
"< 1","F","null","XVI","2014",198
"< 1","F","null","XVI","2015",183
"< 1","F","null","XVI","2016",126
"< 1","F","null","XVI","2017",121
"< 1","F","null","XVII","2006",56
"< 1","F","null","XVII","2007",54
"< 1","F","null","XVII","2008",72
"< 1","F","null","XVII","2009",52
"< 1","F","null","XVII","2010",63
"< 1","F","null","XVII","2011",70
"< 1","F","null","XVII","2012",75
"< 1","F","null","XVII","2013",53
"< 1","F","null","XVII","2014",51
"< 1","F","null","XVII","2015",48
"< 1","F","null","XVII","2016",39
"< 1","F","null","XVII","2017",27
"< 1","F","null","XVIII","2006",33
"< 1","F","null","XVIII","2007",26
"< 1","F","null","XVIII","2008",23
"< 1","F","null","XVIII","2009",26
"< 1","F","null","XVIII","2010",21
"< 1","F","null","XVIII","2011",15
"< 1","F","null","XVIII","2012",8
"< 1","F","null","XVIII","2013",9
"< 1","F","null","XVIII","2014",14
"< 1","F","null","XVIII","2015",8
"< 1","F","null","XVIII","2016",5
"< 1","F","null","XVIII","2017",4
"< 1","F","null","XX","2006",9
"< 1","F","null","XX","2007",4
"< 1","F","null","XX","2008",8
"< 1","F","null","XX","2009",3
"< 1","F","null","XX","2010",5
"< 1","F","null","XX","2011",5
"< 1","F","null","XX","2012",5
"< 1","F","null","XX","2013",4
"< 1","F","null","XX","2014",2
"< 1","F","null","XX","2015",2
"< 1","F","null","XX","2016",2
"< 1","F","null","XX","2017",4
"< 1","F","Par","I","2006",109
"< 1","F","Par","I","2007",68
"< 1","F","Par","I","2008",83
"< 1","F","Par","I","2009",60
"< 1","F","Par","I","2010",57
"< 1","F","Par","I","2011",47
"< 1","F","Par","I","2012",34
"< 1","F","Par","I","2013",35
"< 1","F","Par","I","2014",47
"< 1","F","Par","I","2015",40
"< 1","F","Par","I","2016",40
"< 1","F","Par","I","2017",23
"< 1","F","Par","II","2006",5
"< 1","F","Par","II","2007",3
"< 1","F","Par","II","2008",4
"< 1","F","Par","II","2009",3
"< 1","F","Par","II","2010",7
"< 1","F","Par","II","2011",2
"< 1","F","Par","II","2012",3
"< 1","F","Par","II","2013",1
"< 1","F","Par","II","2014",1
"< 1","F","Par","II","2015",4
"< 1","F","Par","II","2016",2
"< 1","F","Par","II","2017",2
"< 1","F","Par","III","2006",2
"< 1","F","Par","III","2007",5
"< 1","F","Par","III","2008",5
"< 1","F","Par","III","2009",5
"< 1","F","Par","III","2010",3
"< 1","F","Par","III","2011",4
"< 1","F","Par","III","2012",1
"< 1","F","Par","III","2013",2
"< 1","F","Par","III","2015",4
"< 1","F","Par","III","2016",10
"< 1","F","Par","III","2017",3
"< 1","F","Par","IV","2006",13
"< 1","F","Par","IV","2007",17
"< 1","F","Par","IV","2008",17
"< 1","F","Par","IV","2009",18
"< 1","F","Par","IV","2010",13
"< 1","F","Par","IV","2011",14
"< 1","F","Par","IV","2012",11
"< 1","F","Par","IV","2013",17
"< 1","F","Par","IV","2014",11
"< 1","F","Par","IV","2015",11
"< 1","F","Par","IV","2016",10
"< 1","F","Par","IV","2017",11
"< 1","F","Par","IX","2006",9
"< 1","F","Par","IX","2007",8
"< 1","F","Par","IX","2008",6
"< 1","F","Par","IX","2009",3
"< 1","F","Par","IX","2010",8
"< 1","F","Par","IX","2011",7
"< 1","F","Par","IX","2012",3
"< 1","F","Par","IX","2013",4
"< 1","F","Par","IX","2014",7
"< 1","F","Par","IX","2015",13
"< 1","F","Par","IX","2016",12
"< 1","F","Par","IX","2017",6
"< 1","F","Par","V","2008",1
"< 1","F","Par","V","2011",1
"< 1","F","Par","VI","2006",8
"< 1","F","Par","VI","2007",11
"< 1","F","Par","VI","2008",5
"< 1","F","Par","VI","2009",17
"< 1","F","Par","VI","2010",13
"< 1","F","Par","VI","2011",8
"< 1","F","Par","VI","2012",8
"< 1","F","Par","VI","2013",5
"< 1","F","Par","VI","2014",7
"< 1","F","Par","VI","2015",10
"< 1","F","Par","VI","2016",11
"< 1","F","Par","VI","2017",12
"< 1","F","Par","VIII","2011",3
"< 1","F","Par","X","2006",62
"< 1","F","Par","X","2007",49
"< 1","F","Par","X","2008",54
"< 1","F","Par","X","2009",39
"< 1","F","Par","X","2010",43
"< 1","F","Par","X","2011",39
"< 1","F","Par","X","2012",44
"< 1","F","Par","X","2013",38
"< 1","F","Par","X","2014",43
"< 1","F","Par","X","2015",35
"< 1","F","Par","X","2016",29
"< 1","F","Par","X","2017",25
"< 1","F","Par","XI","2006",5
"< 1","F","Par","XI","2007",5
"< 1","F","Par","XI","2008",6
"< 1","F","Par","XI","2009",13
"< 1","F","Par","XI","2010",4
"< 1","F","Par","XI","2011",3
"< 1","F","Par","XI","2012",6
"< 1","F","Par","XI","2013",10
"< 1","F","Par","XI","2014",14
"< 1","F","Par","XI","2015",4
"< 1","F","Par","XI","2016",5
"< 1","F","Par","XI","2017",7
"< 1","F","Par","XII","2010",1
"< 1","F","Par","XII","2012",1
"< 1","F","Par","XII","2016",1
"< 1","F","Par","XII","2017",1
"< 1","F","Par","XIII","2006",2
"< 1","F","Par","XIII","2009",1
"< 1","F","Par","XIII","2013",1
"< 1","F","Par","XIV","2006",3
"< 1","F","Par","XIV","2007",2
"< 1","F","Par","XIV","2008",3
"< 1","F","Par","XIV","2009",4
"< 1","F","Par","XIV","2010",2
"< 1","F","Par","XIV","2011",2
"< 1","F","Par","XIV","2012",3
"< 1","F","Par","XIV","2013",2
"< 1","F","Par","XIV","2014",3
"< 1","F","Par","XIV","2015",5
"< 1","F","Par","XIV","2017",1
"< 1","F","Par","XVI","2006",709
"< 1","F","Par","XVI","2007",660
"< 1","F","Par","XVI","2008",679
"< 1","F","Par","XVI","2009",585
"< 1","F","Par","XVI","2010",640
"< 1","F","Par","XVI","2011",561
"< 1","F","Par","XVI","2012",554
"< 1","F","Par","XVI","2013",553
"< 1","F","Par","XVI","2014",523
"< 1","F","Par","XVI","2015",600
"< 1","F","Par","XVI","2016",555
"< 1","F","Par","XVI","2017",596
"< 1","F","Par","XVII","2006",129
"< 1","F","Par","XVII","2007",126
"< 1","F","Par","XVII","2008",165
"< 1","F","Par","XVII","2009",149
"< 1","F","Par","XVII","2010",140
"< 1","F","Par","XVII","2011",138
"< 1","F","Par","XVII","2012",135
"< 1","F","Par","XVII","2013",123
"< 1","F","Par","XVII","2014",144
"< 1","F","Par","XVII","2015",151
"< 1","F","Par","XVII","2016",164
"< 1","F","Par","XVII","2017",153
"< 1","F","Par","XVIII","2006",35
"< 1","F","Par","XVIII","2007",35
"< 1","F","Par","XVIII","2008",30
"< 1","F","Par","XVIII","2009",54
"< 1","F","Par","XVIII","2010",30
"< 1","F","Par","XVIII","2011",22
"< 1","F","Par","XVIII","2012",28
"< 1","F","Par","XVIII","2013",32
"< 1","F","Par","XVIII","2014",25
"< 1","F","Par","XVIII","2015",20
"< 1","F","Par","XVIII","2016",32
"< 1","F","Par","XVIII","2017",27
"< 1","F","Par","XX","2006",5
"< 1","F","Par","XX","2007",11
"< 1","F","Par","XX","2008",18
"< 1","F","Par","XX","2009",17
"< 1","F","Par","XX","2010",14
"< 1","F","Par","XX","2011",8
"< 1","F","Par","XX","2012",7
"< 1","F","Par","XX","2013",12
"< 1","F","Par","XX","2014",17
"< 1","F","Par","XX","2015",13
"< 1","F","Par","XX","2016",13
"< 1","F","Par","XX","2017",15
"< 1","F","Pre","I","2006",7
"< 1","F","Pre","I","2007",2
"< 1","F","Pre","I","2008",5
"< 1","F","Pre","I","2009",6
"< 1","F","Pre","I","2010",4
"< 1","F","Pre","I","2011",3
"< 1","F","Pre","I","2012",6
"< 1","F","Pre","I","2013",3
"< 1","F","Pre","I","2014",5
"< 1","F","Pre","I","2015",3
"< 1","F","Pre","I","2016",2
"< 1","F","Pre","I","2017",1
"< 1","F","Pre","II","2007",2
"< 1","F","Pre","II","2011",1
"< 1","F","Pre","II","2013",1
"< 1","F","Pre","III","2008",1
"< 1","F","Pre","III","2014",2
"< 1","F","Pre","IV","2006",2
"< 1","F","Pre","IV","2007",1
"< 1","F","Pre","IV","2008",2
"< 1","F","Pre","IV","2011",2
"< 1","F","Pre","IV","2012",3
"< 1","F","Pre","IV","2013",1
"< 1","F","Pre","IX","2006",1
"< 1","F","Pre","IX","2007",1
"< 1","F","Pre","IX","2009",3
"< 1","F","Pre","IX","2012",2
"< 1","F","Pre","IX","2015",1
"< 1","F","Pre","IX","2016",2
"< 1","F","Pre","VI","2006",2
"< 1","F","Pre","VI","2008",1
"< 1","F","Pre","VI","2010",2
"< 1","F","Pre","VI","2011",1
"< 1","F","Pre","VI","2012",1
"< 1","F","Pre","VI","2013",1
"< 1","F","Pre","VI","2014",1
"< 1","F","Pre","VI","2015",2
"< 1","F","Pre","X","2006",9
"< 1","F","Pre","X","2007",9
"< 1","F","Pre","X","2008",11
"< 1","F","Pre","X","2009",3
"< 1","F","Pre","X","2010",7
"< 1","F","Pre","X","2011",3
"< 1","F","Pre","X","2012",3
"< 1","F","Pre","X","2013",3
"< 1","F","Pre","X","2014",1
"< 1","F","Pre","X","2015",5
"< 1","F","Pre","X","2016",1
"< 1","F","Pre","X","2017",2
"< 1","F","Pre","XI","2009",1
"< 1","F","Pre","XI","2010",2
"< 1","F","Pre","XI","2012",1
"< 1","F","Pre","XI","2014",1
"< 1","F","Pre","XI","2015",1
"< 1","F","Pre","XI","2016",1
"< 1","F","Pre","XI","2017",1
"< 1","F","Pre","XII","2011",1
"< 1","F","Pre","XII","2012",1
"< 1","F","Pre","XIV","2010",1
"< 1","F","Pre","XIV","2013",1
"< 1","F","Pre","XIV","2016",1
"< 1","F","Pre","XVI","2006",32
"< 1","F","Pre","XVI","2007",30
"< 1","F","Pre","XVI","2008",24
"< 1","F","Pre","XVI","2009",24
"< 1","F","Pre","XVI","2010",22
"< 1","F","Pre","XVI","2011",28
"< 1","F","Pre","XVI","2012",29
"< 1","F","Pre","XVI","2013",27
"< 1","F","Pre","XVI","2014",20
"< 1","F","Pre","XVI","2015",19
"< 1","F","Pre","XVI","2016",24
"< 1","F","Pre","XVI","2017",39
"< 1","F","Pre","XVII","2006",2
"< 1","F","Pre","XVII","2007",6
"< 1","F","Pre","XVII","2008",4
"< 1","F","Pre","XVII","2009",6
"< 1","F","Pre","XVII","2010",7
"< 1","F","Pre","XVII","2011",6
"< 1","F","Pre","XVII","2012",14
"< 1","F","Pre","XVII","2013",7
"< 1","F","Pre","XVII","2014",12
"< 1","F","Pre","XVII","2015",9
"< 1","F","Pre","XVII","2016",5
"< 1","F","Pre","XVII","2017",9
"< 1","F","Pre","XVIII","2006",2
"< 1","F","Pre","XVIII","2007",5
"< 1","F","Pre","XVIII","2008",2
"< 1","F","Pre","XVIII","2009",2
"< 1","F","Pre","XVIII","2010",3
"< 1","F","Pre","XVIII","2011",1
"< 1","F","Pre","XVIII","2012",2
"< 1","F","Pre","XVIII","2013",3
"< 1","F","Pre","XVIII","2015",1
"< 1","F","Pre","XVIII","2016",3
"< 1","F","Pre","XVIII","2017",3
"< 1","F","Pre","XX","2007",1
"< 1","F","Pre","XX","2009",2
"< 1","F","Pre","XX","2011",2
"< 1","F","Pre","XX","2014",1
"< 1","F","Pre","XX","2017",1
"< 1","M","Ama","I","2006",2
"< 1","M","Ama","I","2007",1
"< 1","M","Ama","I","2008",1
"< 1","M","Ama","I","2010",1
"< 1","M","Ama","II","2016",1
"< 1","M","Ama","IV","2006",1
"< 1","M","Ama","IV","2007",1
"< 1","M","Ama","X","2006",1
"< 1","M","Ama","X","2007",1
"< 1","M","Ama","XVI","2006",1
"< 1","M","Ama","XVI","2007",4
"< 1","M","Ama","XVI","2008",7
"< 1","M","Ama","XVI","2009",4
"< 1","M","Ama","XVI","2010",2
"< 1","M","Ama","XVI","2011",5
"< 1","M","Ama","XVI","2012",3
"< 1","M","Ama","XVI","2013",1
"< 1","M","Ama","XVI","2014",2
"< 1","M","Ama","XVI","2015",3
"< 1","M","Ama","XVI","2016",1
"< 1","M","Ama","XVI","2017",3
"< 1","M","Ama","XVII","2006",1
"< 1","M","Ama","XVII","2007",2
"< 1","M","Ama","XVII","2008",1
"< 1","M","Ama","XVII","2012",2
"< 1","M","Ama","XVII","2014",1
"< 1","M","Ama","XVII","2017",1
"< 1","M","Ama","XVIII","2010",1
"< 1","M","Ama","XVIII","2013",1
"< 1","M","Bra","I","2006",28
"< 1","M","Bra","I","2007",24
"< 1","M","Bra","I","2008",21
"< 1","M","Bra","I","2009",20
"< 1","M","Bra","I","2010",16
"< 1","M","Bra","I","2011",16
"< 1","M","Bra","I","2012",26
"< 1","M","Bra","I","2013",15
"< 1","M","Bra","I","2014",15
"< 1","M","Bra","I","2015",11
"< 1","M","Bra","I","2016",12
"< 1","M","Bra","I","2017",5
"< 1","M","Bra","II","2006",1
"< 1","M","Bra","II","2007",1
"< 1","M","Bra","II","2010",1
"< 1","M","Bra","II","2011",1
"< 1","M","Bra","II","2012",2
"< 1","M","Bra","II","2015",1
"< 1","M","Bra","II","2016",2
"< 1","M","Bra","III","2006",3
"< 1","M","Bra","III","2007",3
"< 1","M","Bra","III","2008",3
"< 1","M","Bra","III","2009",1
"< 1","M","Bra","III","2010",3
"< 1","M","Bra","III","2011",1
"< 1","M","Bra","III","2012",1
"< 1","M","Bra","III","2013",1
"< 1","M","Bra","III","2014",2
"< 1","M","Bra","III","2015",1
"< 1","M","Bra","III","2016",1
"< 1","M","Bra","III","2017",1
"< 1","M","Bra","IV","2006",3
"< 1","M","Bra","IV","2007",3
"< 1","M","Bra","IV","2008",4
"< 1","M","Bra","IV","2009",7
"< 1","M","Bra","IV","2010",5
"< 1","M","Bra","IV","2011",2
"< 1","M","Bra","IV","2013",3
"< 1","M","Bra","IV","2015",3
"< 1","M","Bra","IV","2016",2
"< 1","M","Bra","IV","2017",5
"< 1","M","Bra","IX","2006",2
"< 1","M","Bra","IX","2007",1
"< 1","M","Bra","IX","2008",3
"< 1","M","Bra","IX","2009",1
"< 1","M","Bra","IX","2010",2
"< 1","M","Bra","IX","2011",5
"< 1","M","Bra","IX","2012",2
"< 1","M","Bra","IX","2014",7
"< 1","M","Bra","IX","2015",3
"< 1","M","Bra","IX","2016",5
"< 1","M","Bra","VI","2006",4
"< 1","M","Bra","VI","2007",3
"< 1","M","Bra","VI","2008",7
"< 1","M","Bra","VI","2009",7
"< 1","M","Bra","VI","2010",2
"< 1","M","Bra","VI","2011",6
"< 1","M","Bra","VI","2012",4
"< 1","M","Bra","VI","2013",7
"< 1","M","Bra","VI","2014",5
"< 1","M","Bra","VI","2015",2
"< 1","M","Bra","VI","2016",3
"< 1","M","Bra","VI","2017",3
"< 1","M","Bra","X","2006",26
"< 1","M","Bra","X","2007",17
"< 1","M","Bra","X","2008",15
"< 1","M","Bra","X","2009",20
"< 1","M","Bra","X","2010",21
"< 1","M","Bra","X","2011",14
"< 1","M","Bra","X","2012",10
"< 1","M","Bra","X","2013",14
"< 1","M","Bra","X","2014",11
"< 1","M","Bra","X","2015",10
"< 1","M","Bra","X","2016",8
"< 1","M","Bra","X","2017",10
"< 1","M","Bra","XI","2006",3
"< 1","M","Bra","XI","2007",1
"< 1","M","Bra","XI","2008",5
"< 1","M","Bra","XI","2009",1
"< 1","M","Bra","XI","2010",3
