CODMUNOCOR,I,II,III,IV,IX,V,VI,VII,VIII,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XX,n,ds_nomepad,in_pobreza,nu_latitud,nu_longit
292160,1,1,1,"",9,"",1,"","",2,7,"","",2,"","","",22,4,50,MORPARA,N,"-11,55804","-43,27791"
290810,"",2,"",5,15,"","","","",2,"","","",1,"",5,"",3,6,39,COCOS,S,"-14,17108","-44,54567"
291930,1,1,"",6,2,2,"","","","",2,"","","","",1,"",5,9,29,LENCOIS,N,"-12,56406","-41,39403"
292120,15,22,1,23,44,2,1,"","",12,16,1,"",3,1,1,"",17,14,173,MIGUEL CALMON,S,"-11,42834","-40,59607"
314330,"",4,"",1,3,"",1,"","",1,1,1,"","","","","",1,6,19,MONTES CLAROS,N,"-16,72271","-43,86542"
320517,"",1,"","","","","","","","","","","","","","","","",1,2,VILA VALERIO,N,"-18,99362","-40,39059"
291620,2,2,"",1,20,1,2,"","","",1,1,"","","","","",14,4,48,ITAPE,N,"-14,89481","-39,42996"
315180,"",1,"","","","","","","","","","","","","","","","","",1,POCOS DE CALDAS,N,"-21,78736","-46,56641"
320400,"","","","","","","","","",1,"","","","","","","","","",1,PANCAS,N,"-19,22442","-40,85600"
291855,1,1,1,1,5,1,"","","",2,"","","","","","","",3,5,20,JUSSARI,N,"-15,19046","-39,49494"
270840,"","","","","","","","","","","","","","","","","","",2,2,SAO JOSE DA TAPERA,S,"-9,54940","-37,38371"
280210,1,"","","",3,"","","","",1,2,"","","",1,"","","",4,12,ESTANCIA,N,"-11,26795","-37,44001"
290530,6,7,"",10,22,"",1,"","",4,1,"",1,"","",1,1,10,11,75,CAFARNAUM,S,"-11,69136","-41,47222"
292090,"",4,"","",6,"","","","","","","","","","","","",33,19,62,MASCOTE,S,"-15,56599","-39,30240"
410420,"","","","",1,"","","","","","","","","","","","","","",1,CAMPO LARGO,N,"-25,45949","-49,52884"
290115,2,13,"",8,15,"",3,"","",2,1,"","","","","","",2,9,55,AMERICA DOURADA,S,"-11,44965","-41,43716"
293020,1,3,"",3,8,"",1,"","",7,2,"","",1,"",1,"",41,16,84,SENTO SE,N,"-9,74038","-41,89100"
310900,"","","","","","","","","","","","","","","","","","",1,1,BRUMADINHO,N,"-20,14417","-44,20019"
290970,"",6,"",1,10,"",1,"","",2,1,"",1,"","","","",6,16,44,CRISTOPOLIS,S,"-12,23145","-44,41184"
290050,1,5,"",5,11,1,1,"","",3,"",1,"","","","","",3,2,33,ERICO CARDOSO,S,"-13,42235","-42,13616"
292665,1,2,"","",4,"","","","","","","","","","","","",12,6,25,RIBEIRAO DO LARGO,S,"-15,46406","-40,74386"
290405,4,5,1,5,14,1,"","","",2,1,"","",1,"","","",10,9,53,BONITO,N,"-11,96957","-41,26840"
291050,13,21,"",8,53,2,1,"","",15,5,"","",6,"",1,1,46,51,223,ENTRE RIOS,S,"-11,93726","-38,07878"
292273,1,5,"",1,15,"",1,"","",3,"","","","","","","",6,8,40,NOVA FATIMA,S,"-11,60840","-39,63222"
290250,"",1,"","",3,"","","","","",1,"","","","","","",18,1,24,BAIANOPOLIS,S,"-12,30412","-44,53610"
292230,6,17,"",16,35,2,1,"","",7,4,"","",1,"","",1,7,17,114,MURITIBA,N,"-12,62337","-38,98869"
291900,1,"","","",2,"",1,"","","","","","","","","","",6,1,11,LAJEDINHO,N,"-12,36037","-40,90371"
351300,"",1,"","",1,"","","","",1,"","","","","","","","","",3,COTIA,N,"-23,60351","-46,93185"
290310,"",2,"",2,6,"","","","","","","","","","","","",3,3,16,BARRA DO ROCHA,N,"-14,21003","-39,60139"
315250,"","","","","","","","","","","","","","","","","",1,"",1,POUSO ALEGRE,N,"-22,23030","-45,93714"
292970,"",12,"",10,37,1,"","","",4,7,1,"",1,"","","",14,12,99,SATIRO DIAS,S,"-11,60081","-38,59135"
316930,"","","","","","","","","","","","","","","","","",1,1,2,TRES CORACOES,N,"-21,69597","-45,25494"
521830,"","","","",3,"","","","","","","","","","",1,"","",1,5,POSSE,S,"-14,08773","-46,36201"
280290,5,1,"",1,12,"",1,"","",6,1,"","",2,"",1,"",3,1,34,ITABAIANA,N,"-10,68572","-37,42686"
280350,11,"","",2,17,"",1,"","",14,2,1,"",1,"","","",4,6,59,LAGARTO,N,"-10,91530","-37,66635"
291380,1,4,"","",16,"","","","",3,1,2,"","","","","",19,5,51,IPECAETA,S,"-12,31420","-39,30603"
260290,"","","","",1,"","","","","","","","","","","","","","",1,CABO DE SANTO AGOSTINHO,N,"-8,28986","-35,03849"
354980,1,"","","","","","","","",1,"","","","","","","","","",2,SAO JOSE DO RIO PRETO,N,"-20,81264","-49,38135"
280570,"",1,"","","","","","","","","","","","","","","","","",1,PROPRIA,S,"-10,20821","-36,84210"
291140,"",5,"",2,24,2,2,"","","",2,"",1,"","","","","",14,52,GLORIA,S,"-9,34017","-38,25927"
352530,"",1,"","","","","","","","","","","","","","","",1,"",2,JAU,N,"-22,29579","-48,55814"
290135,"","","","",2,"","","","","","","","",1,"","","",49,7,59,ANDORINHA,S,"-10,34424","-39,83234"
261340,"","","","","","","","","","","","","","","","","","",1,1,SAO JOSE DA COROA GRANDE,N,"-8,89420","-35,14571"
316860,"",2,"",1,"","","","","","","","","","","",1,"",1,1,6,TEOFILO OTONI,N,"-17,86254","-41,50964"
291970,"",5,"","",9,2,1,"","",4,7,"","",1,"",1,"",37,7,74,MACARANI,S,"-15,56732","-40,42204"
313250,"","","","","","","","","","","","","","","","","","",1,1,ITAMARANDIBA,N,"-17,85852","-42,84916"
